Title,Body HTML,Vendor,URL
"BD Sharps Collectors, 12 Pack","For protection and proper disposal of syringes, scalpels and bladesStrong and durable polypropylene construction. Point-first disposal with one way tamper-resistant entry and secure cap closure. Protective recessed flanges to protect against tampering, touch contamination and needle ""bounce back"". Recommended for first aid rooms, hospitals, medical and dental offices and laboratories",safecross,https://www.staples.ca/products/1938758-en-bd-sharps-collectors-12-pack
"Umbra Mezzo Can, Brushed Silver and Gunmetal",Sturdy moulded plastic construction that's built to last,umbra,https://www.staples.ca/products/238616-en-umbra-mezzo-can-brushed-silver-and-gunmetal
"Umbra Step Waste Can, White","The contemporary Step collection of bathroom accessories by Umbra features a step detail on the bottom of each piece which gives the illusion of levitation above the surface that it is sitting on. The pieces are constructed of durable, easy-to-clean melamine and are available in a modern color palette that adds a stylish splash to your bathroom. This waste can with lid measures 7-1/2-inch in diameter by 10-1/4 Inch tall, offers a discrete way to hide waste from view. Designed by Tom Chung for Umbra- original, modern, casual, functional and affordable design for the home.",umbra,https://www.staples.ca/products/2106674-en-umbra-step-waste-can-white
"Umbra Touch Waste Can, Grey","The contemporary Touch collection of bathroom accessories by Umbra features a smooth, rounded design and a pleasing ""soft-touch"" finish. The pieces are constructed of durable, easy-to-clean molded plastic and are available in a modern color palette that adds a stylish splash to your bathroom. This waste can with lid measures 7-1/2-inch in diameter by 10-inch tall, offers a discrete way to hide waste from view. Designed by Alan Wisniewski for Umbra- original, modern, casual, functional and affordable design for the home.",umbra,https://www.staples.ca/products/2106716-en-umbra-touch-waste-can-grey
"Umbra Touch Waste Can, White","The contemporary Touch collection of bathroom accessories by Umbra features a smooth, rounded design and a pleasing ""soft-touch"" finish. The pieces are constructed of durable, easy-to-clean molded plastic and are available in a modern color palette that adds a stylish splash to your bathroom. This waste can with lid measures 7-1/2-inch in diameter by 10-inch tall, offers a discrete way to hide waste from view. Designed by Alan Wisniewski for Umbra- original, modern, casual, functional and affordable design for the home.",umbra,https://www.staples.ca/products/2106718-en-umbra-touch-waste-can-white
"Steel Waste Containers, Capacity US Gal., 28",22-gauge cold-rolled steel construction ensures maximum fire protection. Lower body reinforced with 22-gauge support bars. Concealed pedestal base of 22-gauge steel. Standard plastic bag holder apparatus. Finished in white epoxy powder paint with black vinyl trim. Optional lightweight 26-gauge galvanised steel liner,frost,https://www.staples.ca/products/1938884-en-steel-waste-containers-capacity-us-gal-28
"Dual Stream Recycle Unit, Blue","Emoti-can Recycle bins are aesthetically pleasing container with a small footprint. Perfect for high traffic areas such as schools, malls and airports.",witt_industries,https://www.staples.ca/products/2072325-en-dual-stream-recycle-unit-blue
"Simplehuman Mini Round Step Trash Can, Polished Stainless Steel, 1.2 Gallon",Made from steel material that can stand up to the messiest trash,simplehuman,https://www.staples.ca/products/177705-en-simplehuman-mini-round-step-trash-can-polished-stainless-steel-12-gallon
"Soft Wastebaskets, Dimensions L"" x W"" x H"", 15 1/4 x 11 x 19 7/8, Cap. Quarts, 41, 3 Pack","Durable, lightweight plastic baskets will not rust, chip or dent. Rolled rims offer durability and easy cleaning. Space efficient and economical",rubbermaid,https://www.staples.ca/products/1938877-en-soft-wastebaskets-dimensions-l-x-w-x-h-15-14-x-11-x-19-78-cap-quarts-41-3-pack
"Globe Duo Trash Waste Dolly, Trash Collection and Cleaning",Duo Dolly - Dock N' Mop - Black,globe,https://www.staples.ca/products/2932934-en-globe-duo-trash-waste-dolly-trash-collection-and-cleaning
"Globe 20 Gallon Garbage Waste Container Lid, Blue, 6 Pack",Waste Container Lid - 20 gal - Blue - Pack of 6,globe,https://www.staples.ca/products/2932929-en-globe-20-gallon-garbage-waste-container-lid-blue-6-pack
"Globe 44 Gallon Garbage Waste Container Lid, Grey, 2 Pack",Waste Container Lid - 44 gal - Grey - Pack of 2,globe,https://www.staples.ca/products/2932923-en-globe-44-gallon-garbage-waste-container-lid-grey-2-pack
Islander Containers,"Integrate waste management, window washing and POP advertising. Features aesthetic and functional standard dome or funnel tops for ""no touch"" waste disposal. Customize with decorative panels or POP Advertising inserts turning your waste system into a profit centre, sold separately. Convenient integrated window washing kit, also available as a separate pole-mounted unit. Injection molded construction resists scratches and dents, and will not rust or chip. Removable rigid liner simplifies and speeds up cleaning and emptying. Capacity: 35 US gal. ADA compliant, touch free",rubbermaid,https://www.staples.ca/products/1938807-en-islander-containers
Brute 32 Gallon Vented Round Containers - Grey - 2 Pack,"Extra strong polyethylene construction withstands bumps and kicks; will not rust, chip or peel. Nest for easy storage and cleans easily due to seamless construction. Built-in handles, double ribbed base and molded base grip for two-handed lifting. Internal venting channels on 20, 32, and 44 gallon containers allow for easy removal of garbage bags. Choice of snap-on flat lid or dome top. Accepted for use in Canadian food processing facilities. UV stabilizer added for maximum life in outdoor setting",rubbermaid,https://www.staples.ca/products/1938826-en-brute-32-gallon-vented-round-containers-grey-2-pack
"Globe 10 Gallon Durable Waste Container, Grey, 2 Pack",Waste Container - Garbage Bin - 10 gal - Grey - Pack of 2,globe,https://www.staples.ca/products/2932916-en-globe-10-gallon-durable-waste-container-grey-2-pack
"Untouchable Containers, Untouchable Half Round Container, Wt. lbs., 8, Dimensions L"" x W"" x H"", 21 x 11 x 28","Durable tough polyethylene construction, crack resistant and ideal for indoor or outdoor use. Ideal for hotel lobbies, restrooms, shopping malls, restaurants and snack areas. Indoor or outdoor application. Controls litter, odours and insects. Available in round, half-round and square shape. Optional swing top or flat top swings open freely. ADA compliant, touch-free",rubbermaid,https://www.staples.ca/products/1938902-en-untouchable-containers-untouchable-half-round-container-wt-lbs-8-dimensions-l-x-w-x-h-21-x-11-x-28
"Pre-Galvanized Steel Garbage Cans, Capacity Gal., 16 1/2, Dimensions Dia"". x H"", 17 x 26 3/4, 2 Pack","Cover is deeply formed and has reinforcing ribs for extra strength. Deeply formed bottom for extra strength, raise 5/8"" for longer life and handling ease. 3/16"" wire rolled top. Smooth edged and riveted handles. 30-gauge pre-galvanized steel resulting in a smooth, bright, rustproof finish. Includes: Single handled self-locking cover",gw_metal,https://www.staples.ca/products/1938816-en-pre-galvanized-steel-garbage-cans-capacity-gal-16-12-dimensions-dia-x-h-17-x-26-34-2-pack
Slim Jim 23 Gallon Capacity Container with Venting Channels - Grey,"Durable, all plastic construction. Efficient size and shape fits tight spaces. Venting channels reduces lifting force by 68% on average, which enhances workplace ergonomics. Integrated handles allow for easier lifting, dumping, and dragging of container. Four molded-in pull through holes with can liner ""cinch"" hold liner in place. Available with universal recycling symbol imprint. Tops fit all Slim Jim containers. UV stabilizer added for maximum life in outdoor settings. Stainless steel dolly resists rusting, provides easy mobility and fits all Slim Jim containers. Bases and tops sold separately",rubbermaid,https://www.staples.ca/products/1938862-en-slim-jim-23-gallon-capacity-container-with-venting-channels-grey
"Marshal Classic Containers, Beige",Under normal use (with top on and swing door shut) the container will restrain flames and extinguish them. Textured finish minimizes the appearance of surface scratches. UV stabilizer added for maximum life in outdoor setting. Optional grey rigid liner. ADA compliant. FM approved,rubbermaid,https://www.staples.ca/products/1938811-en-marshal-classic-containers-beige
"Safco Step-On Stainless Steel Receptacle, 4 Gallons",Made with durable stainless steel material that you can rely on,safco,https://www.staples.ca/products/2095359-en-safco-step-on-stainless-steel-receptacle-4-gallons
"CleanRiver Flex E Waste Bin with Lid and Labels, 50 Gallon, Black (FX50A-BK1-W)",The heavy duty 50G/189L Flex E waste bin is sturdy and ideal for home or office. Made from recycled plastic the Flex E waste bin has a patented bag tie system that allows for quick and easy emptying and bag change.,cleanriver_recycling_solutions,https://www.staples.ca/products/2890231-en-cleanriver-flex-e-waste-bin-with-lid-and-labels-50-gallon-black-fx50a-bk1-w
"Futech RB-5L 5 Liter Garbage Bin, 9"" x 9"" x 11"" , Stainless Steel",Foot pedal opening,futech,https://www.staples.ca/products/2103521-en-futech-rb-5l-5-liter-garbage-bin-9-x-9-x-11-stainless-steel
The Step N' Sort 40 Litre Trash Compacting Bin (959286),"The Step N’ Sort Trash Compacting bin allows you to user fewer trash bags and take out the trash less often! Easy to use, and no batteries required. Simply grab hold of the handle on the lid and push down. Your garbage will be crushed allowing you to get up to three times more trash in the bin.",the_step_n__sort,https://www.staples.ca/products/2763348-en-the-step-n-sort-40-litre-trash-compacting-bin-959286
"Simplehuman Swing Lid Trash Can, Plastic, 16 Gallon, Black",,simplehuman,https://www.staples.ca/products/908565-en-simplehuman-swing-lid-trash-can-plastic-16-gallon-black
"Steel Waste Containers, Capacity US Gal., 16",22-gauge cold-rolled steel construction ensures maximum fire protection. Lower body reinforced with 22-gauge support bars. Concealed pedestal base of 22-gauge steel. Standard plastic bag holder apparatus. Finished in white epoxy powder paint with black vinyl trim. Optional lightweight 26-gauge galvanised steel liner,frost,https://www.staples.ca/products/1938883-en-steel-waste-containers-capacity-us-gal-16
"Umbra Touch Waste Can, Black","The contemporary Touch collection of bathroom accessories by Umbra features a smooth, rounded design and a pleasing ""soft-touch"" finish. The pieces are constructed of durable, easy-to-clean molded plastic and are available in a modern color palette that adds a stylish splash to your bathroom. This waste can with lid measures 7-1/2-inch in diameter by 10-inch tall, offers a discrete way to hide waste from view. Designed by Alan Wisniewski for Umbra- original, modern, casual, functional and affordable design for the home.",umbra,https://www.staples.ca/products/2106721-en-umbra-touch-waste-can-black
"Soft Wastebaskets, Dimensions L"" x W"" x H"", 14 3/8 x 10 1/4 x 15, Cap. Quarts, 28, 5 Pack","Durable, lightweight plastic baskets will not rust, chip or dent. Rolled rims offer durability and easy cleaning. Space efficient and economical",rubbermaid,https://www.staples.ca/products/1938876-en-soft-wastebaskets-dimensions-l-x-w-x-h-14-38-x-10-14-x-15-cap-quarts-28-5-pack
"Round Brute Tops, Dia."" x H"", 22 1/4 x 1 3/8, White, 3 lbs., 3 Pack","Extra strong polyethylene construction withstands bumps and kicks; will not rust, chip or peel. Nest for easy storage and cleans easily due to seamless construction. Built-in handles, double ribbed base and moulded base grip for two-handed lifting. Choice of snap-on flat lid or dome top. Accepted for use in Canadian food processing facilities. UV stabilizer added for maximum life in outdoor setting",rubbermaid,https://www.staples.ca/products/1938839-en-round-brute-tops-dia-x-h-22-14-x-1-38-white-3-lbs-3-pack
ASI Waste Receptacle with Swing Top,Bin is constructed from reliable stainless steel,asi,https://www.staples.ca/products/1015142-en-asi-waste-receptacle-with-swing-top
"Steel Waste Containers, Optional Plastic Liner Sold Seperately, Capacity US Gal., 14","Heavy gauge fire safe steel construction ensures maximum fire protection. Dual entry, springless door provides convenient litter disposal. Hinged top opens 90 deg for easy maintenance. Standard retainer bands hold poly bags neatly insideDurable white powder coated finish with black vinyl trim. ADA compliant. UL Listed",rubbermaid,https://www.staples.ca/products/1938885-en-steel-waste-containers-optional-plastic-liner-sold-seperately-capacity-us-gal-14
"Seville Classics Ultra Heavy-Duty Commercial Stainless Steel Trash Can, 17-Gallon","Combining high-quality materials with an innovative design, this rectangular-shaped Ultra Heavy Duty Stainless Steel Trash Bin is perfect for your garage, kitchen, warehouse or office. The 17-gallon-capacity unit features a durable stainless-steel design with heavy duty rolling wheels for your convenience. The bin measures 17.2""  by 12.9""  and by 34.5"" high.",seville_classics,https://www.staples.ca/products/1597919-en-seville-classics-ultra-heavy-duty-commercial-stainless-steel-trash-can-17-gallon
"Simplehuman Profile Open Trash Can, 2.6 Gallon",Designed tough with stainless steel material,simplehuman,https://www.staples.ca/products/908564-en-simplehuman-profile-open-trash-can-26-gallon
"simplehuman Mini Round Step Can, 4.5 L (1.2 gal), Dark Bronze Steel (CW2040)",Mini round step garbage can.,simplehuman,https://www.staples.ca/products/2391962-en-simplehuman-mini-round-step-can-45-l-12-gal-dark-bronze-steel-cw2040
"Honey Can Do Retro Kitchen 30L Soft, Close White","Freshen up your kitchen with this standard size trash can from the Honey Can Do Retro Kitchen collection. This 30L garbage container holds standard trashbags and has a bucket that is easy to remove and put back into place. The stylish trash bin comes in red and white and its durable steel is powder coated which keeps its colour vibrant and makes it easy to wipe clean. In addition to its good looks and ease of use, the Retro Kitchen Trash Can possesses a slow-close lid to keep it from banging up and down, ensuring it stands up to your daily kitchen needs.",honey_can_do,https://www.staples.ca/products/2883014-en-honey-can-do-retro-kitchen-30l-soft-close-white
"Round Brute Tops, Dia."" x H"", 22 1/4 x 1 3/8, Yellow, 3 lbs., 3 Pack","Extra strong polyethylene construction withstands bumps and kicks; will not rust, chip or peel. Nest for easy storage and cleans easily due to seamless construction. Built-in handles, double ribbed base and molded base grip for two-handed lifting. Choice of snap-on flat lid or dome top. Accepted for use in Canadian food processing facilities. UV stabilizer added for maximum life in outdoor setting",rubbermaid,https://www.staples.ca/products/1938840-en-round-brute-tops-dia-x-h-22-14-x-1-38-yellow-3-lbs-3-pack
"Simplehuman Butterfly Step Can, Fingerprint-Proof Stainless Steel, 12 Gallon","Made from sturdy, long-lasting stainless steel material",simplehuman,https://www.staples.ca/products/239849-en-simplehuman-butterfly-step-can-fingerprint-proof-stainless-steel-12-gallon
"Landmark Series Classic Containers, Rigid Liners",Keep all of your waste in one safe and sanitary place with this durable and spacious garbage bin from Rubbermaid.  Garbage bin includes 1 compartment.,rubbermaid,https://www.staples.ca/products/1938808-en-landmark-series-classic-containers-rigid-liners
"Globe Slim Garbage Waste Container, 23 Gallon, 20"" x 11"" x 30"", Grey, 4 pack",Slim Waste Container - Garbage Bin - 23 Gallon - Grey - Pack of 4,globe,https://www.staples.ca/products/2932936-en-globe-slim-garbage-waste-container-23-gallon-20-x-11-x-30-grey-4-pack
"Galvanised Garbage Cans, Standard Cans, Cap. Gal., 9, 2 Pack","Smooth, bright, rust proof finish. Uniform thickness throughout, no rough spots or barbs. Handles are riveted in place for maximum strength. Standard garbage cans are manufactured of pre-galvanised steel and come with plain covers. Covers are spring lock type with soldered seams and 16-gauge steel reinforcing bands on the bottom",gw_metal,https://www.staples.ca/products/1938791-en-galvanised-garbage-cans-standard-cans-cap-gal-9-2-pack
"Dual Stream Recycle Unit, Green","Emoti-can Recycle bins are aesthetically pleasing container with a small footprint. Perfect for high traffic areas such as schools, malls and airports.",witt_industries,https://www.staples.ca/products/2072329-en-dual-stream-recycle-unit-green
"Blu Element Gel Skin Galaxy A8 2018, Clear (BCTA8CL)",Enjoy peace of mind knowing your investment is well protected. A flexible soft touch case that is slim and lightweight with excellent shock absorbing ability. A raised wrap-around edge allows for additional screen protection when laying the phone facedown.,blu_element,https://www.staples.ca/products/2871296-en-blu-element-gel-skin-galaxy-a8-2018-clear-bcta8cl
"Round Brute Containers, White, 3 Pack","Extra strong polyethylene construction withstands bumps and kicks; will not rust, chip or peel. Nest for easy storage and cleans easily due to seamless construction. Built-in handles, double ribbed base and molded base grip for two-handed lifting. Choice of snap-on flat lid or dome top. Accepted for use in Canadian food processing facilities. UV stabilizer added for maximum life in outdoor setting",rubbermaid,https://www.staples.ca/products/1938832-en-round-brute-containers-white-3-pack
"Simplehuman Semi-Round Step Trash Can, 2.6 Gallon",Bin is constructed from reliable stainless steel,simplehuman,https://www.staples.ca/products/908563-en-simplehuman-semi-round-step-trash-can-26-gallon
"CleanRiver Flex E Waste Bin with High Impact Backboard, 50 Gallon, Grey (FX50B-GY1-W)",The heavy duty 50G/189L Flex E waste bin is sturdy and ideal for home or office. Made from recycled plastic the Flex E waste bin has a patented bag tie system that allows for quick and easy emptying and bag change. High-impact backboard signage helps people make the right choice when tossing their waste.,cleanriver_recycling_solutions,https://www.staples.ca/products/2890219-en-cleanriver-flex-e-waste-bin-with-high-impact-backboard-50-gallon-grey-fx50b-gy1-w
"Honey Can Do Mesh Metal Trash Can Kit, Black, 2 Pack (TRSZ02102)","Honey-Can-Do TRSZ02102 Steel Mesh Waste Basket, Black, 2 pack.  Modern styling and sturdy construction combine in this steel mesh trash can. It's the perfect size for bathrooms, dorms, and offices and works well with our without commonly available trash bags. Measures 13.8 inches high and 11.6 inches in diameter at the top.  The solid metal base keeps potential liquid spills contained. Create a contemporary, polished look with a trash can designed to last for years.",honey_can_do,https://www.staples.ca/products/160428-en-honey-can-do-mesh-metal-trash-can-kit-black-2-pack-trsz02102
"Huskee Maid Caddy Gray 9.75"" x 16.5"" x 5""h Fits All Containers, Each","Made from sturdy, long-lasting plastic material",katy_st_louis,https://www.staples.ca/products/1956682-en-huskee-maid-caddy-gray-975-x-165-x-5h-fits-all-containers-each
"OtterBox Commuter Galaxy A8 2018, Black (7758435)","The Commuter Series is a slim and tough protective case made of a durable silicone mid-layer and a one-piece, custom-molded polycarbonate shell. Its smooth finish allows it to slide easily in and out of pockets. This case provides added protection against scratches, bumps and shock.",otterbox,https://www.staples.ca/products/2871294-en-otterbox-commuter-galaxy-a8-2018-black-7758435
"Step N' Sort 3 Compartment Trash & Recycling Bin, 45 L","Designed to handle all of your waste and storage needs, this Step N' Sort is perfect for the home and office. The removable inner bins allow for easy disposal. Allows you to sort your waste in one convenient unit",step_n__sort,https://www.staples.ca/products/2859758-en-step-n-sort-3-compartment-trash-recycling-bin-45-l
"simplehuman Rectangular Step Can with Liner Pocket, 55 L (14.5 gal), Brushed Stainless Steel (CW2023)",Rectangular step garbage can with liner pocket.,simplehuman,https://www.staples.ca/products/2391968-en-simplehuman-rectangular-step-can-with-liner-pocket-55-l-145-gal-brushed-stainless-steel-cw2023
"Paris Site Furnishings Premier Litter and Trash Receptacle, 34-Gallon, Light Green (460-304-0081)","Made in Canada. Heavy duty steel construction. Comes fully assembled, easy installation. Commercial grade quality product. Lid and lanyard (stainless steel braided cable) included. Thermally bonded ultra-violet resistant light green gloss powder coat paint finish. Predrilled foot holes for added security.",paris_site_furnishings,https://www.staples.ca/products/2467060-en-paris-site-furnishings-premier-litter-and-trash-receptacle-34-gallon-light-green-460-304-0081
"Round Brute Tops, Dia."" x H"", 16 x 1, White, 1 lbs., 5 Pack","Extra strong polyethylene construction withstands bumps and kicks; will not rust, chip or peel. Nest for easy storage and cleans easily due to seamless construction. Built-in handles, double ribbed base and molded base grip for two-handed lifting. Choice of snap-on flat lid or dome top. Accepted for use in Canadian food processing facilities. UV stabilizer added for maximum life in outdoor setting",rubbermaid,https://www.staples.ca/products/1938835-en-round-brute-tops-dia-x-h-16-x-1-white-1-lbs-5-pack
"Simplehuman Countertop Trash Can, 1.5 L","Built with tough, long-lasting brushed stainless steel, plastic material",simplehuman,https://www.staples.ca/products/177700-en-simplehuman-countertop-trash-can-15-l
Exian Armored Case with Stand and Screen Protectors (2 Pack) for LG G6 - Blue,"With a unique design, this case provides protection from scratches and light impact. It is light weight and easily slides in and out of pockets. It also provides easy access to all ports and buttons.",exian,https://www.staples.ca/products/2867560-en-exian-armored-case-with-stand-and-screen-protectors-2-pack-for-lg-g6-blue
"Galvanised Garbage Cans, Standard Cans, Cap. Gal., 20","Smooth, bright, rust proof finish. Uniform thickness throughout, no rough spots or barbs. Handles are riveted in place for maximum strength. Standard garbage cans are manufactured of pre-galvanised steel and come with plain covers. Covers are spring lock type with soldered seams and 16-gauge steel reinforcing bands on the bottom",gw_metal,https://www.staples.ca/products/1938790-en-galvanised-garbage-cans-standard-cans-cap-gal-20
"Round Brute Tops, Dia."" x H"", 19 7/8 x 1 1/4, Yellow, 2 lbs., 5 Pack","Extra strong polyethylene construction withstands bumps and kicks; will not rust, chip or peel. Nest for easy storage and cleans easily due to seamless construction. Built-in handles, double ribbed base and molded base grip for two-handed lifting. Choice of snap-on flat lid or dome top. Accepted for use in Canadian food processing facilities. UV stabilizer added for maximum life in outdoor setting",rubbermaid,https://www.staples.ca/products/1938838-en-round-brute-tops-dia-x-h-19-78-x-1-14-yellow-2-lbs-5-pack
"Fire Resistant Wastebaskets, Dimensions L"" x W"" x H"", 14.5 x 10.5 x 15.3","U.L. classified containers contain burning paper without the wastebasket melting or contributing fuel to the container's contents. Fibreglass containers have rounded corners for added strength and durability; will not rust, chip or dent. CSFM approved and UL listed",rubbermaid,https://www.staples.ca/products/1938784-en-fire-resistant-wastebaskets-dimensions-l-x-w-x-h-145-x-105-x-153
"Royal Sovereign Motion Sensor Waste Bin, 35 L, Silver","Touchless motion sensor waste bins provide convenient hands-free operation and a hygienic solution for waste disposal. Ideal for bathrooms, kitchens, small offices, or apartments.",royal_sovereign,https://www.staples.ca/products/2925065-en-royal-sovereign-motion-sensor-waste-bin-35-l-silver
"Umbra Mini Can, High-Gloss, Black, 6 Pack",Made from moulded plastic material that can stand up to the messiest trash,umbra,https://www.staples.ca/products/238617-en-umbra-mini-can-high-gloss-black-6-pack
"Globe 32 Gallon Garbage Waste Container Lid, Blue, 5 Pack",Waste Container Lid - 32 gal - Blue - Pack of 5,globe,https://www.staples.ca/products/2932930-en-globe-32-gallon-garbage-waste-container-lid-blue-5-pack
Yellow Mobile Container,Made from heavy-duty polyurethane. Folding lid includes handles,schaefer,https://www.staples.ca/products/1938908-en-yellow-mobile-container
"Round Brute Containers, Vented, White, Gal 44","Extra strong polyethylene construction withstands bumps and kicks; will not rust, chip or peel. Nest for easy storage and cleans easily due to seamless construction. Built-in handles, double ribbed base and molded base grip for two-handed lifting. Internal venting channels on 20, 32, and 44 gallon containers allow for easy removal of garbage bags. Choice of snap-on flat lid or dome top. Accepted for use in Canadian food processing facilities. UV stabilizer added for maximum life in outdoor setting",rubbermaid,https://www.staples.ca/products/1938829-en-round-brute-containers-vented-white-gal-44
